nombre_id,nombre
377,SANT JULIÀ  DE VILATORTA
378,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA"
379,RAMALES DE LA VICTORIA
380,LA VALL DE BIANYA
381,L'ESTARTIT
382,PLANOLES
383,ARTICUTZA (AUTOMATICA)
384,SEGURA
385,BALMASEDA
386,ARESO
387,MUTRIKU
388,ORDIZIA
389,ELGETA
390,TONA (ESCOLA)
391,SAN FELICES DE BUELNA
392,SOPUERTA
393,FERROL
394,VILAGARCÍA DE AROUSA
395,VILLABLINO
396,"CARBALLO, DEPURADORA"
397,BECERREÁ
398,"MIERES, BAIÑA"
399,"SALAS, CAMUÑO"
400,MAZARICOS
401,VEGA DE ESPINAREDA  
402,"ALLER, FELECHOSA"
403,"ROIS, CASAS DO PORTO"
404,O PÁRAMO
405,RODEIRO-VILAMAIOR
406,RIBADEO
407,VILAGARCIA DE AROUSA
408,"CILLÓRIGO DE LIÉBANA, TAMA"
409,DEGAÑA
410,CHANDREXA DE QUEIXA
411,SOBRADO
412,A ESTRADA
413,SILLEDA
414,VIGO 
415,CABRALES
416,O BARCO DE VALDEORRAS
417,VIMIANZO
418,"IBIAS, SAN ANTOLIN"
419,BURELA
420,NOIA
421,A CORUÑA BENS
422,A LAMA
423,LALIN-CRISTIMIL
424,TRESVISO
425,POLA DE SOMIEDO
426,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA"
427,"TARAMUNDI, OURIA"
428,"TINEO, SOUTU"
429,"AMIEVA, PANIZALES"
430,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA"
431,CERVANTES
432,"LENA, RONZÓN"
433,"VILLAYÓN, ONETA"
434,COLUNGA
435,LUGO
436,AS PONTES
437,"POSADA DE VALDEÓN, SOTO "
438,MONTERROSO
439,BOIRO
440,MONDOÑEDO
441,"PILOÑA, BARGAÉU"
442,PEDRAZA
443,GOTARRENDURA
444,MONFORTE DE LEMOS
445,MORÓN DE ALMAZÁN
446,PALENCIA
447,UCERO
448,RIBADAVIA
449,"SANTILLANA DEL MAR, ALTAMIRA"
450,VILLAELES DE VALDAVIA
451,MIGUELAÑEZ
452,CORUÑA DEL CONDE
453,O ROSAL
454,"LA PÓVEDA DE SORIA, BARRIOMARTÍN"
455,A CAÑIZA
456,PEDROSA DEL PRÍNCIPE
457,ALLARIZ
458,LUBIA
459,FRESNO DE CANTESPINO
460,MUIÑOS
461,CUÉLLAR
462,AREVALO
463,"OLMEDO, DEPÓSITO DE AGUA"
464,SAN RAFAEL
465,LA RIBA DE ESCALOTE
466,ÓLVEGA
467,BEARIZ
468,VILLAMAYOR DE LOS MONTES
469,PEÑAFIEL
470,FOLGOSO DO COUREL
471,VILLADIEGO
472,BURGO DE OSMA
473,SARDÓN DE DUERO
474,MONTERRUBIO DE LA DEMANDA
475,"VINUESA, QUINTANAREJO"
476,MUÑOTELLO
477,"VELILLA DEL RÍO CARRIÓN, CAMPORREDONDO DE ALBA"
478,AGUILAR DE CAMPOO
479,"PONTEAREAS, CANEDO   "
480,ALDEANUEVA DE SERREZUELA
481,LICERAS
482,FRESNO DE SAYAGO
483,EL MAÍLLO
484,RIAÑO
485,EL BODÓN BASE AÉREA
486,VERÍN
487,VALENCIA DE DON JUAN
